file	pr	ref
1228-removing-mxids-from-events.md	1228	refs/pr/upstream/1228
1716-open-on-device-api.md	1716	refs/pr/upstream/1716
1740-accept-header.md	1740	refs/pr/upstream/1740
1762-3pid-did.md	1762	refs/pr/upstream/1762
1763-configurable-retention-periods.md	1763	refs/pr/upstream/1763
1768-auth-proof.md	1768	refs/pr/upstream/1768
1769-extensible-profiles-as-rooms.md	1769	refs/pr/upstream/1769
1780-3pid-did-admin-account.md	1780	refs/pr/upstream/1780
1781-3pid-did-association.md	1781	refs/pr/upstream/1781
1797-profile-error-codes.md	1797	refs/pr/upstream/1797
1862-presence-capabilites.md	1862	refs/pr/upstream/1862
1921-cancel-3pid-sessions.md	1921	refs/pr/upstream/1921
1956-integrations-api-base.md	1956	refs/pr/upstream/1956
1959-integrations-stickerpicker.md	1959	refs/pr/upstream/1959
1973-hash-key-user-id.md	1973	refs/pr/upstream/1973
1974-crypto-puzzle.md	1974	refs/pr/upstream/1974
2102-enforce-canonical-json-on-s2s-wire.md	2102	refs/pr/upstream/2102
2108-sync-via-server-sent-events.md	2108	refs/pr/upstream/2108
2127-federation-capabilities.md	2127	refs/pr/upstream/2127
2162-signaling-errors-at-bridges.md	2162	refs/pr/upstream/2162
2190-allow-appservice-sync.md	2190	refs/pr/upstream/2190
1543-qr_code_key_verification.md	2192	refs/pr/upstream/2192
1756-cross-signing.md	2192	refs/pr/upstream/2192
1767-extensible-events.md	2192	refs/pr/upstream/2192
1772-groups-as-rooms.md	2192	refs/pr/upstream/2192
1960-integrations-openid.md	2192	refs/pr/upstream/2192
2010-spoilers.md	2192	refs/pr/upstream/2192
2184-allow-html-details.md	2192	refs/pr/upstream/2192
2192-inline-widgets.md	2192	refs/pr/upstream/2192
2241-e2e-verification-in-dms.md	2192	refs/pr/upstream/2192
2265-email-lowercase.md	2192	refs/pr/upstream/2192
2285-hidden-read-receipts.md	2192	refs/pr/upstream/2192
2312-matrix-uri.md	2192	refs/pr/upstream/2192
2320-identity-versions.md	2192	refs/pr/upstream/2192
2366-key-verification-accept.md	2192	refs/pr/upstream/2192
2403-knock.md	2192	refs/pr/upstream/2192
2414-optional-content-reporting-reason.md	2192	refs/pr/upstream/2192
2557-spoiler-clarifications.md	2192	refs/pr/upstream/2192
2674-event-relationships.md	2192	refs/pr/upstream/2192
2675-aggregations-server.md	2192	refs/pr/upstream/2192
2676-message-editing.md	2192	refs/pr/upstream/2192
2677-reactions.md	2192	refs/pr/upstream/2192
2713-remove-deprecated-identity-endpoints.md	2192	refs/pr/upstream/2192
2732-olm-fallback-keys.md	2192	refs/pr/upstream/2192
2758-textual-id-grammar.md	2192	refs/pr/upstream/2192
2765-widget-avatars.md	2192	refs/pr/upstream/2192
2774-widget-id.md	2192	refs/pr/upstream/2192
2778-appservice-login.md	2192	refs/pr/upstream/2192
2788-v6-default-version.md	2192	refs/pr/upstream/2192
2801-untrusted-event-data.md	2192	refs/pr/upstream/2192
2832-appservice-auth-fix.md	2192	refs/pr/upstream/2192
2844-global-versioning.md	2192	refs/pr/upstream/2192
2858-Multiple-SSO-Identity-Providers.md	2192	refs/pr/upstream/2192
2874-single-ssss.md	2192	refs/pr/upstream/2192
2918-refreshtokens.md	2192	refs/pr/upstream/2192
2946-spaces-summary.md	2192	refs/pr/upstream/2192
2998-rooms-v7.md	2192	refs/pr/upstream/2192
3030-jump-to-date.md	2192	refs/pr/upstream/2192
3069-guests-whoami.md	2192	refs/pr/upstream/2192
3083-restricted-rooms.md	2192	refs/pr/upstream/2192
3122-deprecate-starting-verifications-without-request.md	2192	refs/pr/upstream/2192
3173-expose-stripped-state-events.md	2192	refs/pr/upstream/2192
3231-token-authenticated-registration.md	2192	refs/pr/upstream/2192
3267-reference-relations.md	2192	refs/pr/upstream/2192
3283-enable_set_displayname-capabilities.md	2192	refs/pr/upstream/2192
3288-pass_room_type_in_3pid_invite.md	2192	refs/pr/upstream/2192
3289-rooms-v8.md	2192	refs/pr/upstream/2192
3316-appservice-timestamp-massaging.md	2192	refs/pr/upstream/2192
2199-canonical-dms.md	2199	refs/pr/upstream/2199
2211-store-3pids-hashed-at-rest.md	2211	refs/pr/upstream/2211
2212-third-party-user-power-levels.md	2212	refs/pr/upstream/2212
2213-rejoin-private-rooms.md	2213	refs/pr/upstream/2213
2214-join-upgraded-private-rooms.md	2214	refs/pr/upstream/2214
2228-self-destructing-events.md	2228	refs/pr/upstream/2228
2270-ignore-invites.md	2270	refs/pr/upstream/2270
2278-deleting-content.md	2278	refs/pr/upstream/2278
2291-configuration-to-control-crawling.md	2291	refs/pr/upstream/2291
2299-textfile.md	2299	refs/pr/upstream/2299
2300-ping-endpoint.md	2300	refs/pr/upstream/2300
2301-info-endpoint.md	2301	refs/pr/upstream/2301
2315-no-integration-manager-option.md	2315	refs/pr/upstream/2315
2316-federation-data-loss-queries.md	2316	refs/pr/upstream/2316
2326-label-based-filtering.md	2326	refs/pr/upstream/2326
2346-bridge-info-state-event.md	2346	refs/pr/upstream/2346
2354-streaming-file-transfer.md	2354	refs/pr/upstream/2354
2370-resolve-url.md	2370	refs/pr/upstream/2370
2375-appservices-invite-states.md	2375	refs/pr/upstream/2375
2379-appservice-versions.md	2379	refs/pr/upstream/2379
2380-media-information-api.md	2380	refs/pr/upstream/2380
2385-no-url-previews.md	2385	refs/pr/upstream/2385
2388-edu-as-pdu--receipt.md	2388	refs/pr/upstream/2388
2391-federation-point-query.md	2391	refs/pr/upstream/2391
2398-allow-mxc-within-message-links.md	2398	refs/pr/upstream/2398
2413-remove-client-secret.md	2413	refs/pr/upstream/2413
2427-json-based-message-formatting.md	2427	refs/pr/upstream/2427
2437-tagged-events-account-data.md	2437	refs/pr/upstream/2437
2438-local-and-federated-erasure-requests.md	2438	refs/pr/upstream/2438
2444-peeking-over-federation-peek-api.md	2444	refs/pr/upstream/2444
0000-proposal-template.md	2448	refs/pr/upstream/2448
1543-qr_code_key_verification.md	2448	refs/pr/upstream/2448
1756-cross-signing.md	2448	refs/pr/upstream/2448
1779-open-governance.md	2448	refs/pr/upstream/2448
1946-secure_server-side_storage.md	2448	refs/pr/upstream/2448
1960-integrations-openid.md	2448	refs/pr/upstream/2448
2010-spoilers.md	2448	refs/pr/upstream/2448
2033-whoami-device-id.md	2448	refs/pr/upstream/2448
2184-allow-html-details.md	2448	refs/pr/upstream/2448
2209-auth-rules-other-keys-in-m.room.power.levels.md	2448	refs/pr/upstream/2448
2240-rooms-v6.md	2448	refs/pr/upstream/2448
2265-email-lowercase.md	2448	refs/pr/upstream/2448
2320-identity-versions.md	2448	refs/pr/upstream/2448
2366-key-verification-accept.md	2448	refs/pr/upstream/2448
2399-reporting-no-key-sent.md	2448	refs/pr/upstream/2448
2414-optional-content-reporting-reason.md	2448	refs/pr/upstream/2448
2422-allow-color-attribute-on-font-tag.md	2448	refs/pr/upstream/2448
2432-revised-alias-publishing.md	2448	refs/pr/upstream/2448
2448-blurhash-for-media.md	2448	refs/pr/upstream/2448
2451-remove-query_auth-federation-endpoint.md	2448	refs/pr/upstream/2448
2454-ui-interactive-auth-for-sso.md	2448	refs/pr/upstream/2448
2457-password-modification-invalidating-devices.md	2448	refs/pr/upstream/2448
2472-symmetric-ssss.md	2448	refs/pr/upstream/2448
2526-add-delete-backup.md	2448	refs/pr/upstream/2448
2540-stricter-event-validation.md	2448	refs/pr/upstream/2448
2557-spoiler-clarifications.md	2448	refs/pr/upstream/2448
2604-login-fallback-device-info.md	2448	refs/pr/upstream/2448
2610-remove-oauth2-auth-type.md	2448	refs/pr/upstream/2448
2611-remove-login-auth-type.md	2448	refs/pr/upstream/2448
2630-sas-check-public-keys.md	2448	refs/pr/upstream/2448
2663-errors-nonexistent-push-rules.md	2448	refs/pr/upstream/2448
2689-fix-e2ee-for-guests.md	2448	refs/pr/upstream/2448
2758-textual-id-grammar.md	2448	refs/pr/upstream/2448
2765-widget-avatars.md	2448	refs/pr/upstream/2448
2774-widget-id.md	2448	refs/pr/upstream/2448
2788-v6-default-version.md	2448	refs/pr/upstream/2448
2801-untrusted-event-data.md	2448	refs/pr/upstream/2448
2844-global-versioning.md	2448	refs/pr/upstream/2448
2858-Multiple-SSO-Identity-Providers.md	2448	refs/pr/upstream/2448
2874-single-ssss.md	2448	refs/pr/upstream/2448
2998-rooms-v7.md	2448	refs/pr/upstream/2448
2474-backup-version-in-ssss.md	2474	refs/pr/upstream/2474
2477-user-defined-ephemeral-events.md	2477	refs/pr/upstream/2477
2487-appservice-filtering.md	2487	refs/pr/upstream/2487
2499-client-well-known-fixes.md	2499	refs/pr/upstream/2499
2513-membership-fields.md	2513	refs/pr/upstream/2513
2596-always-allow-rescinding-invites.md	2596	refs/pr/upstream/2596
2644-matrix.to-v2.md	2644	refs/pr/upstream/2644
2673-notification-levels.md	2673	refs/pr/upstream/2673
2695-get-event-by-id.md	2695	refs/pr/upstream/2695
2716-batch-send-historical-messages.md	2716	refs/pr/upstream/2716
2723-add-forward-info.md	2723	refs/pr/upstream/2723
2730-verifiable-forwarded-events.md	2730	refs/pr/upstream/2730
2747-voip-call-transfer.md	2747	refs/pr/upstream/2747
2749-e2ee-on-off.md	2749	refs/pr/upstream/2749
2753-peeking-via-sync-v2.md	2753	refs/pr/upstream/2753
2755-lazy-load-rooms.md	2755	refs/pr/upstream/2755
2757-sign-events.md	2757	refs/pr/upstream/2757
1543-qr_code_key_verification.md	2762	refs/pr/upstream/2762
1756-cross-signing.md	2762	refs/pr/upstream/2762
1772-groups-as-rooms.md	2762	refs/pr/upstream/2762
1960-integrations-openid.md	2762	refs/pr/upstream/2762
2010-spoilers.md	2762	refs/pr/upstream/2762
2184-allow-html-details.md	2762	refs/pr/upstream/2762
2241-e2e-verification-in-dms.md	2762	refs/pr/upstream/2762
2265-email-lowercase.md	2762	refs/pr/upstream/2762
2312-matrix-uri.md	2762	refs/pr/upstream/2762
2320-identity-versions.md	2762	refs/pr/upstream/2762
2366-key-verification-accept.md	2762	refs/pr/upstream/2762
2403-knock.md	2762	refs/pr/upstream/2762
2414-optional-content-reporting-reason.md	2762	refs/pr/upstream/2762
2557-spoiler-clarifications.md	2762	refs/pr/upstream/2762
2713-remove-deprecated-identity-endpoints.md	2762	refs/pr/upstream/2762
2732-olm-fallback-keys.md	2762	refs/pr/upstream/2762
2758-textual-id-grammar.md	2762	refs/pr/upstream/2762
2762-widget-event-receiving.md	2762	refs/pr/upstream/2762
2765-widget-avatars.md	2762	refs/pr/upstream/2762
2774-widget-id.md	2762	refs/pr/upstream/2762
2778-appservice-login.md	2762	refs/pr/upstream/2762
2788-v6-default-version.md	2762	refs/pr/upstream/2762
2801-untrusted-event-data.md	2762	refs/pr/upstream/2762
2844-global-versioning.md	2762	refs/pr/upstream/2762
2858-Multiple-SSO-Identity-Providers.md	2762	refs/pr/upstream/2762
2874-single-ssss.md	2762	refs/pr/upstream/2762
2998-rooms-v7.md	2762	refs/pr/upstream/2762
3083-restricted-rooms.md	2762	refs/pr/upstream/2762
3122-deprecate-starting-verifications-without-request.md	2762	refs/pr/upstream/2762
3173-expose-stripped-state-events.md	2762	refs/pr/upstream/2762
3289-rooms-v8.md	2762	refs/pr/upstream/2762
2772-jitsi-notifications.md	2772	refs/pr/upstream/2772
2782-full-event-pusher.md	2782	refs/pr/upstream/2782
2785-notification-attributes.md	2785	refs/pr/upstream/2785
2787-portable-identities.md	2787	refs/pr/upstream/2787
1543-qr_code_key_verification.md	2790	refs/pr/upstream/2790
1756-cross-signing.md	2790	refs/pr/upstream/2790
1772-groups-as-rooms.md	2790	refs/pr/upstream/2790
2010-spoilers.md	2790	refs/pr/upstream/2790
2184-allow-html-details.md	2790	refs/pr/upstream/2790
2241-e2e-verification-in-dms.md	2790	refs/pr/upstream/2790
2265-email-lowercase.md	2790	refs/pr/upstream/2790
2312-matrix-uri.md	2790	refs/pr/upstream/2790
2320-identity-versions.md	2790	refs/pr/upstream/2790
2366-key-verification-accept.md	2790	refs/pr/upstream/2790
2403-knock.md	2790	refs/pr/upstream/2790
2414-optional-content-reporting-reason.md	2790	refs/pr/upstream/2790
2557-spoiler-clarifications.md	2790	refs/pr/upstream/2790
2713-remove-deprecated-identity-endpoints.md	2790	refs/pr/upstream/2790
2732-olm-fallback-keys.md	2790	refs/pr/upstream/2790
2758-textual-id-grammar.md	2790	refs/pr/upstream/2790
2765-widget-avatars.md	2790	refs/pr/upstream/2790
2774-widget-id.md	2790	refs/pr/upstream/2790
2788-v6-default-version.md	2790	refs/pr/upstream/2790
2790-modal-widgets.md	2790	refs/pr/upstream/2790
2801-untrusted-event-data.md	2790	refs/pr/upstream/2790
2844-global-versioning.md	2790	refs/pr/upstream/2790
2858-Multiple-SSO-Identity-Providers.md	2790	refs/pr/upstream/2790
2874-single-ssss.md	2790	refs/pr/upstream/2790
2998-rooms-v7.md	2790	refs/pr/upstream/2790
3122-deprecate-starting-verifications-without-request.md	2790	refs/pr/upstream/2790
3173-expose-stripped-state-events.md	2790	refs/pr/upstream/2790
2802-full-abstraction.md	2802	refs/pr/upstream/2802
2812-role-based-power.md	2812	refs/pr/upstream/2812
2813-handling-invalid-widget-requests.md	2813	refs/pr/upstream/2813
2815-moderate-redacted-content.md	2815	refs/pr/upstream/2815
2828-restrict-user-ids.md	2828	refs/pr/upstream/2828
2836-threading.md	2836	refs/pr/upstream/2836
2845-thirdparty-api-phone.md	2845	refs/pr/upstream/2845
2846-decentralising-media-through-cids.md	2846	refs/pr/upstream/2846
2848-global-event-ids.md	2848	refs/pr/upstream/2848
2855-server-initiated-clear-cache.md	2855	refs/pr/upstream/2855
2871-widget-cap-respond.md	2871	refs/pr/upstream/2871
2872-move-widget-title-prop.md	2872	refs/pr/upstream/2872
2873-identifying-clients-in-widgets.md	2873	refs/pr/upstream/2873
2882-tempered-transitive-trust.md	2882	refs/pr/upstream/2882
2883-mls.md	2883	refs/pr/upstream/2883
2895-improve-membership.md	2895	refs/pr/upstream/2895
2923-connect-matrix-to-matrix.md	2923	refs/pr/upstream/2923
2931-widget-navigate-capability.md	2931	refs/pr/upstream/2931
2938-report-content-to-moderators.md	2938	refs/pr/upstream/2938
2943-member-sugar-apis-event-id.md	2943	refs/pr/upstream/2943
2949-optional-auth.md	2949	refs/pr/upstream/2949
2961-external-signatures.md	2961	refs/pr/upstream/2961
2962-spaces-access-control.md	2962	refs/pr/upstream/2962
2970-remove-pusher-path.md	2970	refs/pr/upstream/2970
2974-widgets-re-exchange-capabilities.md	2974	refs/pr/upstream/2974
2997-tshift.md	2997	refs/pr/upstream/2997
3008-widgets-scoped-access.md	3008	refs/pr/upstream/3008
3009-widgets-ws-transport.md	3009	refs/pr/upstream/3009
3014-full-event-with-rooms-pusher.md	3014	refs/pr/upstream/3014
3015-room-personal-overrides.md	3015	refs/pr/upstream/3015
3020-private-federations.md	3020	refs/pr/upstream/3020
3032-presence-revamp.md	3032	refs/pr/upstream/3032
3038-typed-typing-notifications.md	3038	refs/pr/upstream/3038
3051-scalable-relations.md	3051	refs/pr/upstream/3051
1756-cross-signing.md	3062	refs/pr/upstream/3062
2366-key-verification-accept.md	3062	refs/pr/upstream/3062
2844-global-versioning.md	3062	refs/pr/upstream/3062
2998-rooms-v7.md	3062	refs/pr/upstream/3062
3062-bot-verification.md	3062	refs/pr/upstream/3062
0000-proposal-template.md	3079	refs/pr/upstream/3079
1543-qr_code_key_verification.md	3079	refs/pr/upstream/3079
1756-cross-signing.md	3079	refs/pr/upstream/3079
1779-open-governance.md	3079	refs/pr/upstream/3079
1946-secure_server-side_storage.md	3079	refs/pr/upstream/3079
1960-integrations-openid.md	3079	refs/pr/upstream/3079
2010-spoilers.md	3079	refs/pr/upstream/3079
2033-whoami-device-id.md	3079	refs/pr/upstream/3079
2184-allow-html-details.md	3079	refs/pr/upstream/3079
2209-auth-rules-other-keys-in-m.room.power.levels.md	3079	refs/pr/upstream/3079
2240-rooms-v6.md	3079	refs/pr/upstream/3079
2265-email-lowercase.md	3079	refs/pr/upstream/3079
2320-identity-versions.md	3079	refs/pr/upstream/3079
2366-key-verification-accept.md	3079	refs/pr/upstream/3079
2399-reporting-no-key-sent.md	3079	refs/pr/upstream/3079
2414-optional-content-reporting-reason.md	3079	refs/pr/upstream/3079
2422-allow-color-attribute-on-font-tag.md	3079	refs/pr/upstream/3079
2432-revised-alias-publishing.md	3079	refs/pr/upstream/3079
2451-remove-query_auth-federation-endpoint.md	3079	refs/pr/upstream/3079
2454-ui-interactive-auth-for-sso.md	3079	refs/pr/upstream/3079
2457-password-modification-invalidating-devices.md	3079	refs/pr/upstream/3079
2472-symmetric-ssss.md	3079	refs/pr/upstream/3079
2526-add-delete-backup.md	3079	refs/pr/upstream/3079
2540-stricter-event-validation.md	3079	refs/pr/upstream/3079
2557-spoiler-clarifications.md	3079	refs/pr/upstream/3079
2604-login-fallback-device-info.md	3079	refs/pr/upstream/3079
2610-remove-oauth2-auth-type.md	3079	refs/pr/upstream/3079
2611-remove-login-auth-type.md	3079	refs/pr/upstream/3079
2630-sas-check-public-keys.md	3079	refs/pr/upstream/3079
2663-errors-nonexistent-push-rules.md	3079	refs/pr/upstream/3079
2689-fix-e2ee-for-guests.md	3079	refs/pr/upstream/3079
2758-textual-id-grammar.md	3079	refs/pr/upstream/3079
2765-widget-avatars.md	3079	refs/pr/upstream/3079
2774-widget-id.md	3079	refs/pr/upstream/3079
2788-v6-default-version.md	3079	refs/pr/upstream/3079
2801-untrusted-event-data.md	3079	refs/pr/upstream/3079
2844-global-versioning.md	3079	refs/pr/upstream/3079
2858-Multiple-SSO-Identity-Providers.md	3079	refs/pr/upstream/3079
2874-single-ssss.md	3079	refs/pr/upstream/3079
2998-rooms-v7.md	3079	refs/pr/upstream/3079
3079-low-bandwidth-csapi.md	3079	refs/pr/upstream/3079
0000-proposal-template.md	3086	refs/pr/upstream/3086
1543-qr_code_key_verification.md	3086	refs/pr/upstream/3086
1756-cross-signing.md	3086	refs/pr/upstream/3086
1779-open-governance.md	3086	refs/pr/upstream/3086
1946-secure_server-side_storage.md	3086	refs/pr/upstream/3086
1960-integrations-openid.md	3086	refs/pr/upstream/3086
2010-spoilers.md	3086	refs/pr/upstream/3086
2033-whoami-device-id.md	3086	refs/pr/upstream/3086
2184-allow-html-details.md	3086	refs/pr/upstream/3086
2209-auth-rules-other-keys-in-m.room.power.levels.md	3086	refs/pr/upstream/3086
2240-rooms-v6.md	3086	refs/pr/upstream/3086
2265-email-lowercase.md	3086	refs/pr/upstream/3086
2320-identity-versions.md	3086	refs/pr/upstream/3086
2366-key-verification-accept.md	3086	refs/pr/upstream/3086
2399-reporting-no-key-sent.md	3086	refs/pr/upstream/3086
2414-optional-content-reporting-reason.md	3086	refs/pr/upstream/3086
2422-allow-color-attribute-on-font-tag.md	3086	refs/pr/upstream/3086
2432-revised-alias-publishing.md	3086	refs/pr/upstream/3086
2451-remove-query_auth-federation-endpoint.md	3086	refs/pr/upstream/3086
2454-ui-interactive-auth-for-sso.md	3086	refs/pr/upstream/3086
2457-password-modification-invalidating-devices.md	3086	refs/pr/upstream/3086
2472-symmetric-ssss.md	3086	refs/pr/upstream/3086
2526-add-delete-backup.md	3086	refs/pr/upstream/3086
2540-stricter-event-validation.md	3086	refs/pr/upstream/3086
2557-spoiler-clarifications.md	3086	refs/pr/upstream/3086
2604-login-fallback-device-info.md	3086	refs/pr/upstream/3086
2610-remove-oauth2-auth-type.md	3086	refs/pr/upstream/3086
2611-remove-login-auth-type.md	3086	refs/pr/upstream/3086
2630-sas-check-public-keys.md	3086	refs/pr/upstream/3086
2663-errors-nonexistent-push-rules.md	3086	refs/pr/upstream/3086
2689-fix-e2ee-for-guests.md	3086	refs/pr/upstream/3086
2758-textual-id-grammar.md	3086	refs/pr/upstream/3086
2765-widget-avatars.md	3086	refs/pr/upstream/3086
2774-widget-id.md	3086	refs/pr/upstream/3086
2788-v6-default-version.md	3086	refs/pr/upstream/3086
2801-untrusted-event-data.md	3086	refs/pr/upstream/3086
2844-global-versioning.md	3086	refs/pr/upstream/3086
2858-Multiple-SSO-Identity-Providers.md	3086	refs/pr/upstream/3086
2874-single-ssss.md	3086	refs/pr/upstream/3086
2998-rooms-v7.md	3086	refs/pr/upstream/3086
3086-voip-asserted-identity.md	3086	refs/pr/upstream/3086
0000-proposal-template.md	3088	refs/pr/upstream/3088
1543-qr_code_key_verification.md	3088	refs/pr/upstream/3088
1756-cross-signing.md	3088	refs/pr/upstream/3088
1779-open-governance.md	3088	refs/pr/upstream/3088
1946-secure_server-side_storage.md	3088	refs/pr/upstream/3088
1960-integrations-openid.md	3088	refs/pr/upstream/3088
2010-spoilers.md	3088	refs/pr/upstream/3088
2033-whoami-device-id.md	3088	refs/pr/upstream/3088
2184-allow-html-details.md	3088	refs/pr/upstream/3088
2209-auth-rules-other-keys-in-m.room.power.levels.md	3088	refs/pr/upstream/3088
2240-rooms-v6.md	3088	refs/pr/upstream/3088
2265-email-lowercase.md	3088	refs/pr/upstream/3088
2320-identity-versions.md	3088	refs/pr/upstream/3088
2366-key-verification-accept.md	3088	refs/pr/upstream/3088
2399-reporting-no-key-sent.md	3088	refs/pr/upstream/3088
2414-optional-content-reporting-reason.md	3088	refs/pr/upstream/3088
2422-allow-color-attribute-on-font-tag.md	3088	refs/pr/upstream/3088
2432-revised-alias-publishing.md	3088	refs/pr/upstream/3088
2451-remove-query_auth-federation-endpoint.md	3088	refs/pr/upstream/3088
2454-ui-interactive-auth-for-sso.md	3088	refs/pr/upstream/3088
2457-password-modification-invalidating-devices.md	3088	refs/pr/upstream/3088
2472-symmetric-ssss.md	3088	refs/pr/upstream/3088
2526-add-delete-backup.md	3088	refs/pr/upstream/3088
2540-stricter-event-validation.md	3088	refs/pr/upstream/3088
2557-spoiler-clarifications.md	3088	refs/pr/upstream/3088
2604-login-fallback-device-info.md	3088	refs/pr/upstream/3088
2610-remove-oauth2-auth-type.md	3088	refs/pr/upstream/3088
2611-remove-login-auth-type.md	3088	refs/pr/upstream/3088
2630-sas-check-public-keys.md	3088	refs/pr/upstream/3088
2663-errors-nonexistent-push-rules.md	3088	refs/pr/upstream/3088
2689-fix-e2ee-for-guests.md	3088	refs/pr/upstream/3088
2758-textual-id-grammar.md	3088	refs/pr/upstream/3088
2765-widget-avatars.md	3088	refs/pr/upstream/3088
2774-widget-id.md	3088	refs/pr/upstream/3088
2788-v6-default-version.md	3088	refs/pr/upstream/3088
2801-untrusted-event-data.md	3088	refs/pr/upstream/3088
2844-global-versioning.md	3088	refs/pr/upstream/3088
2858-Multiple-SSO-Identity-Providers.md	3088	refs/pr/upstream/3088
2874-single-ssss.md	3088	refs/pr/upstream/3088
2998-rooms-v7.md	3088	refs/pr/upstream/3088
3088-room-subtyping.md	3088	refs/pr/upstream/3088
0000-proposal-template.md	3089	refs/pr/upstream/3089
1543-qr_code_key_verification.md	3089	refs/pr/upstream/3089
1756-cross-signing.md	3089	refs/pr/upstream/3089
1779-open-governance.md	3089	refs/pr/upstream/3089
1946-secure_server-side_storage.md	3089	refs/pr/upstream/3089
1960-integrations-openid.md	3089	refs/pr/upstream/3089
2010-spoilers.md	3089	refs/pr/upstream/3089
2033-whoami-device-id.md	3089	refs/pr/upstream/3089
2184-allow-html-details.md	3089	refs/pr/upstream/3089
2209-auth-rules-other-keys-in-m.room.power.levels.md	3089	refs/pr/upstream/3089
2240-rooms-v6.md	3089	refs/pr/upstream/3089
2265-email-lowercase.md	3089	refs/pr/upstream/3089
2320-identity-versions.md	3089	refs/pr/upstream/3089
2366-key-verification-accept.md	3089	refs/pr/upstream/3089
2399-reporting-no-key-sent.md	3089	refs/pr/upstream/3089
2414-optional-content-reporting-reason.md	3089	refs/pr/upstream/3089
2422-allow-color-attribute-on-font-tag.md	3089	refs/pr/upstream/3089
2432-revised-alias-publishing.md	3089	refs/pr/upstream/3089
2451-remove-query_auth-federation-endpoint.md	3089	refs/pr/upstream/3089
2454-ui-interactive-auth-for-sso.md	3089	refs/pr/upstream/3089
2457-password-modification-invalidating-devices.md	3089	refs/pr/upstream/3089
2472-symmetric-ssss.md	3089	refs/pr/upstream/3089
2526-add-delete-backup.md	3089	refs/pr/upstream/3089
2540-stricter-event-validation.md	3089	refs/pr/upstream/3089
2557-spoiler-clarifications.md	3089	refs/pr/upstream/3089
2604-login-fallback-device-info.md	3089	refs/pr/upstream/3089
2610-remove-oauth2-auth-type.md	3089	refs/pr/upstream/3089
2611-remove-login-auth-type.md	3089	refs/pr/upstream/3089
2630-sas-check-public-keys.md	3089	refs/pr/upstream/3089
2663-errors-nonexistent-push-rules.md	3089	refs/pr/upstream/3089
2689-fix-e2ee-for-guests.md	3089	refs/pr/upstream/3089
2758-textual-id-grammar.md	3089	refs/pr/upstream/3089
2765-widget-avatars.md	3089	refs/pr/upstream/3089
2774-widget-id.md	3089	refs/pr/upstream/3089
2788-v6-default-version.md	3089	refs/pr/upstream/3089
2801-untrusted-event-data.md	3089	refs/pr/upstream/3089
2844-global-versioning.md	3089	refs/pr/upstream/3089
2858-Multiple-SSO-Identity-Providers.md	3089	refs/pr/upstream/3089
2874-single-ssss.md	3089	refs/pr/upstream/3089
2998-rooms-v7.md	3089	refs/pr/upstream/3089
3089-file-tree-structures.md	3089	refs/pr/upstream/3089
0000-proposal-template.md	3131	refs/pr/upstream/3131
1219-storing-megolm-keys-serverside.md	3131	refs/pr/upstream/3131
1543-qr_code_key_verification.md	3131	refs/pr/upstream/3131
1756-cross-signing.md	3131	refs/pr/upstream/3131
1779-open-governance.md	3131	refs/pr/upstream/3131
1946-secure_server-side_storage.md	3131	refs/pr/upstream/3131
1960-integrations-openid.md	3131	refs/pr/upstream/3131
1983-leave-reasons.md	3131	refs/pr/upstream/3131
2010-spoilers.md	3131	refs/pr/upstream/3131
2033-whoami-device-id.md	3131	refs/pr/upstream/3131
2176-update-redaction-rules.md	3131	refs/pr/upstream/3131
2184-allow-html-details.md	3131	refs/pr/upstream/3131
2209-auth-rules-other-keys-in-m.room.power.levels.md	3131	refs/pr/upstream/3131
2229-rebind-existing-3pid.md	3131	refs/pr/upstream/3131
2240-rooms-v6.md	3131	refs/pr/upstream/3131
2244-mass-redactions.md	3131	refs/pr/upstream/3131
2265-email-lowercase.md	3131	refs/pr/upstream/3131
2284-optional-identity-server-discovery.md	3131	refs/pr/upstream/3131
2290-separate-threepid-bind-hs.md	3131	refs/pr/upstream/3131
2313-moderation-policy-rooms.md	3131	refs/pr/upstream/3131
2320-identity-versions.md	3131	refs/pr/upstream/3131
2324-when-to-ship.md	3131	refs/pr/upstream/3131
2334-default-room-version-v5.md	3131	refs/pr/upstream/3131
2366-key-verification-accept.md	3131	refs/pr/upstream/3131
2367-membership-reasons.md	3131	refs/pr/upstream/3131
2399-reporting-no-key-sent.md	3131	refs/pr/upstream/3131
2403-knock.md	3131	refs/pr/upstream/3131
2414-optional-content-reporting-reason.md	3131	refs/pr/upstream/3131
2422-allow-color-attribute-on-font-tag.md	3131	refs/pr/upstream/3131
2432-revised-alias-publishing.md	3131	refs/pr/upstream/3131
2451-remove-query_auth-federation-endpoint.md	3131	refs/pr/upstream/3131
2454-ui-interactive-auth-for-sso.md	3131	refs/pr/upstream/3131
2457-password-modification-invalidating-devices.md	3131	refs/pr/upstream/3131
2472-symmetric-ssss.md	3131	refs/pr/upstream/3131
2526-add-delete-backup.md	3131	refs/pr/upstream/3131
2540-stricter-event-validation.md	3131	refs/pr/upstream/3131
2557-spoiler-clarifications.md	3131	refs/pr/upstream/3131
2604-login-fallback-device-info.md	3131	refs/pr/upstream/3131
2610-remove-oauth2-auth-type.md	3131	refs/pr/upstream/3131
2611-remove-login-auth-type.md	3131	refs/pr/upstream/3131
2630-sas-check-public-keys.md	3131	refs/pr/upstream/3131
